,listing_id,id,date,reviewer_id,reviewer_name,comments,Rating
519081,11457547,77725277,2016-06-03,2683879,André,Daniel was the perfect hostWe rented a bedroom  but looked like we got the whole apartment A almost invisible host but always there to help us in any need couldn't be better highly recommended,4
129807,3339205,15783775,2014-07-15,1679219,Léa,We couldn't have hope for a better host than Chris He was very flexible and provided a lot of information on the location He would answer this emails very quickly The apartment was very clean and towels were provided There is an added mattress to the pull out couch that makes it much more comfortable (it's impressive) The location is perfect I would highly recommend this apartment ,4
489968,975965,19381711,2014-09-11,20055145,Luana,was our first time in nyc John is the one that everyone would like to meet kind and disponibilel 'accommodation is very spacious beautiful-affirmation is the great position very very best,3
73194,15806262,114201772,2016-11-16,18085440,Chris,dans place is great all brand new very close to take an uber to get to mid town and other brooklyn neighborhoods very communicative and always answered any question I had thanks for hosting me,3
434550,1195260,9025721,2013-12-02,281070,Tayo,Beautiful apartment nice and comfortable MarQuerite and David are very hospitable The apartment also features on-site parking which is a definite plus is you are driving in New York All in all I had a very pleasant stay here Will definitely stay here again anytime I am in New York/ ratings from me,4
661397,759901,27316713,2015-03-02,23941007,Taylor,Christian and Carla were great hosts I stayed with them for  months The house is a  minute walk to train making it convenient to get into the city The room was spacious and clean I enjoyed staying with them very much  ,5
196848,555206,32108645,2015-05-14,26835487,Christina,Great accommodation quite spacious room for New York Awesome location in East village close to the public transport and many attractions Evan was a great host very accommodating and helpful Loved the  cats who were very friendly Highly recommend,3
614040,4935544,107671104,2016-10-11,84247643,Danny,It is a perfect spot in Brooklyn and this apartment has averything you need Close to subway and bus station clean apartment great service from Susan Would definitely recommend this to everyone ,4
100484,7328721,53540564,2015-11-09,37532485,Quentin,Danielle's friend Bree gave us a warm welcome and we immediately felt at home Very clean fully equipped stylish  This is the best airbnb we've been to,5
767353,12382,2271338,2012-09-12,2797560,Sandra,Great place to stay -)  It was clean and safe and so homelyWe really enjoyed our stay in this apartment Christopher is a great host and very helpful ,3
85050,13509110,85398350,2016-07-11,10120449,Tob,Andrew was FANTASTIC The apartment was really neat He provided everything you need for a comfortable stay The apartment is in a beautiful location Just a couple blocks from the major subways I couldn't have asked for a better place to stay Thank you,4
375952,11590585,191450930,2017-09-07,140124596,Tran,The neighborhood is fun and the receptionists are friendly,5
188431,1150382,131240859,2017-02-11,93119678,Carrie,This was my second time using Suzanne and just like the first time it was amazing Her always responds within minutes and every you need is available Her home is beautiful and very cozy It's great to have that peace of mind and just relax away from the world She is the only person I believe I will use on Air BNB Another  star rating ❤❤,5
480981,2228824,123479392,2016-12-29,92240288,Lucie,The appartement was very large but we didnt see ignacio unfortunately and no one was there when we arrived The neighbour is very noisy and there was loud music every night during our  night stay But anyway we had a great stay the neighbourhood is safe and it is very close to the subway Before you book you have to know that there is only one bathroom with the toilet in the bathroom for  rooms of  persons But the kitchen is huge and the bathroom is big too ,3
398135,3465651,56877037,2015-12-19,50640928,Phuong,Excellent accueil Tout est en place pour maximiser notre confort Très bien placé l'accès à Manhattan par le train (gratuit) et le ferry (n'utilise qu'un déplacement ) est une introduction immersive à New-York Très recommandé,1
283072,660016,32046423,2015-05-13,22140241,Ida,This apartment is great if you're just looking for a place to sleep while you are in New York The outside of the building doesn't look too great The inside isn't fancy either but the apartment is clean and that is important You have enough room for three adults plus a child on the couch  and you have a kitchen with all the basics you need to make your own dinner if you want to The host is very helpful He quickly responds to emails and he even found a pack and play for our toddler,4
705015,467866,5633177,2013-07-09,5388806,Briece,This apartment was a great deal for the location It was clean and the host David was very helpful It was everything I expected  based on the description I would recommend and stay here again,4
146869,14594441,145273310,2017-04-17,21363717,Jamie,Ella's place was as advertised  Easy to find and access  Very clean  Ella provided clear concise information  I was happy with my stay and would recommend it to those looking to stay in Williamsburg ,5
406303,20243723,189074958,2017-08-31,43798461,Adam,Great place to stay for a short time as well as for a longer term Shah is a great host he respond fast and he is very friendly Place is close to subway station We spend two weeks there and we had nothing to complaint Thanks,3
477492,5124475,147190912,2017-04-25,122754225,Jennifer,Jennifer's is a great place to stay-spacious clean and quiet Jennifer was gracious and helpful Loved the neighborhood-get coffee across the street at the Moroccan cafe and try a Moroccan almond cookie We also had a fabulous meal one night at the Kallejon a few blocks away We got around by bus train cab and Uber-all super convenient Wouldn't change a thing and definitely recommend staying here if you want to enjoy NYC as a real place and not just as a tourist who stays in Midtown ,5
247048,6596747,101560357,2016-09-14,11186365,Deanna,I was able to stay one week with Kate and Danny who are wonderful hosts Kate communicated quickly and clearly before my arrival and throughout my stay She texted they were unable to be there when I arrived but had made easy arrangements for me to get the apartment keys and feel at home  I had no questions because Kate’s descriptions were so accurate  The bedroom had lots of dresser storage space and a closest by the door for hanging clothes  Kate left a note a bunch of treats maps and personalized cheerful red mug  There is a Keurig coffeemaker  Breakfast was provided and also an entire shelf in the fridge for my use  And if that is not enough welcoming Dr Watson their cat will make sure you feel appreciated  It was delightful to have some time with the cat and dogsThe neighborhood  I fell in love  So as not to repeat specific details from other reviews I will just say the neighborhood truly has everything  I don’t think a reviewer has yet mentioned how friendly the area is so I will emphasize that  In two days folks were recognizing me on the street and asking me if I had eaten at this or that restaurant yet  West Village combines the charm of a small town with the sophistication of the large city  You can enjoy the neighborhood or hop on the subway to go anywhere in New YorkDuring my time in New York I saw a wonderful off-Broadway production starring Kate  Yes Kate  SEE IT  I guarantee you will laugh often and enjoy seeing how talented your hostess is  What I liked best is I did not feel like I was renting a room  I felt like I was visiting an exciting city with two happy friends  ,5
690639,2372740,13242797,2014-05-23,13731047,Fredi,Staying with Rob was great His apartment is easy to reach from JFK and with the M Train at the front door you're in the city within a half an hourIf we come back to NY some time we will stay with Rob again,4
178050,5183502,90507295,2016-08-01,18352803,Andre,Arti is a great hostess  Her place is clean & cozy making it perfect for a solo traveler  A short walk to the L train Arti's apartment is without a doubt the most convenient place I've stayed in quite some time   A few minutes walk in almost any direction and you're bound to find whatever you're looking forArti herself is a traveler's dream accommodating affable & easy-going  Interacting with her is stress-free & pleasant  If you're on your own & need a place to stay in Brooklyn I'd highly recommend staying with Arti   ,5
367009,99070,266413,2011-05-16,548452,Maxime,You should definitely go this place Elizabeth was awesome very friendly and makes you feel welcome in the big cityI was so sorry I couldn't stay longer there The area is fine and very easy to reach by subway Liz knows the place very well and can give you some good advices about places she knows record store market place anything  Most definitely a GREAT way to discover NYC,5
229827,1196791,17409495,2014-08-11,9952815,Jessica,Taf and Caits were awesome They made my friend and I feel very welcome and comfortable Their apartment is absolutely adorable Their place was located right next to the subway which made t easy to get around,4
776457,15419993,111282037,2016-10-30,94972130,Gianmarco,Close to the subway stop house is too dirty ,5
66338,1886978,147982790,2017-04-29,121141487,Deem,Nancy and Patrick are truly awesome people I had to stay here for  weeks and this whole time I super enjoyed my stay Nancy is very sweet cheerful and happy person She will always help you if you need anything and is a great person to have a conversation with Patrick is often out playing music but if you get to see him he is super cool guy This place is clean quiet and beds are soft Everything you need for comfortable and peaceful stay you will find here Train station is about - minutes walk Withing  minutes you will be in Manhattan or downtown Brooklyn Five stars hands down I would recommend this place to anyone - you will not regret ,5
152520,14919110,133297580,2017-02-21,74040084,Ashley,She was a great host supplied us with both bottled water and wine as well as k-cups her place was very cozy and quaint and in a convenient location )),2
52825,16678571,176243330,2017-07-30,2498596,James,Dane's place was PERFECT - had a prior booking fall through on a Sat night and finding affordable and last minute accommodations was a real challenge especially on a budget Dane's spot fit the bill perfectly - he met me to give me the keys and show me the apartment then check out was easy - just left the keys behind and went on my way The apartment is ground-floor easy to access in a beautiful diverse neighborhood Nice hardwood floors and looks like all the fixtures were updated recently Clean towels and sheets Even a couple beers in the fridge Couldn't be more satisfied,4
501264,4164672,69585317,2016-04-11,47752262,Lisa,Great hosts if I could stay here each time I visited the area I would The hospitality kindness Roseanne & Doug provide are unmatched ,3
251259,11848985,73726635,2016-05-09,1684959,Ed,Great neighborhood had a great stay thx,3
450693,16323227,160117122,2017-06-12,31379126,Hideaki,Thank you so much to my wonderful hosts They were so kind and always responsive to my messages so quickly It was very spacious and decent place in a convenient and safe area with lots of shops and restaurants I hope to visit again in the near future,5
788489,18927952,193731265,2017-09-14,114114576,Inken,We had a great vacation in NYC Everything was exactly as in the pictures Although we didn't see the host the communication was very good and everything was well organized We totally recommend this host ,2
633402,13127074,160303094,2017-06-13,117264694,Joanna,We had a great stay in New York Very nice and clean apartment Great for a larger Group traveling together (we were  people)The beds are big and very comfortable Nice clean towels were provided Only thing missing were some more plates and glassesThe location of the appartment is great In walking distance to Empire state Loads of restaurants on the same street or just around the cornerGreat host Easy and fast communication We arrived late but that was no problem for check inWe would definitely stay in this apartment again,4
185633,10086396,145738537,2017-04-19,43804882,Leila,AMAZING location really great value Very clean and comfortable place Perfect I would stay there again And hosts are super nice and cool artists very talented and fun to talk to Cool people good energy Subway is around the corner super convenient ,5
629097,14690075,177383064,2017-08-02,12497189,Mario & Vanessa,La zona buena ubicación el apto correcto Creo que cumple perfectamente para visitas de corta estadía Viajeros que no les moleste compartir y no busquen mucha privacidad,1
663270,7225366,120084262,2016-12-07,66445926,Dave,Communication from Tina and Karolina was outstanding and the check-in process was effortless    The apartment was very clean and met all our expectations   Great location   ,4
717347,704068,69906038,2016-04-14,8371520,Jason,Eleah is a great host The guest room is incredibly spacious & comfortable it quickly felt like home Also great bed The neighbourhood is both alive and relaxed (at least when compared to Manhattan) it buzzes at a really nice pace Great laundromat across the street and a subway entrance only a block away (The G train service can be spotty during off-peak times Ultimately it's not a big deal but it's worth giving yourself some extra time especially if you're Manhattan-bound) And it's also a relatively cheap fare from LaGuardia () if that's how you're getting into or out of the city Highly recommended I would definitely stay again,3
324152,19521060,195766512,2017-09-20,23802960,Jean-Charles,Logement très bien situé et très propreTrès confortable pour  personnes mais au delà c'est un peu difficileCanapé inconfortable pas plus de  chaises Terrasses pour  etcAdam est vraiment très serviable et répondra à chaque remarque et chaque souhait,1
758931,16188233,130538549,2017-02-06,21107740,Mayumi,Reka's two bedroom unit in the heart of Soho is very nice comfortable and well equipped  We were very comfortable and Reka was very accommodating regarding our check in and check out times  The location was great for us  We recommend it particularly for those who like downtown,5
188072,12630411,103632982,2016-09-23,85531966,Oren,Lars is a very friendly  host and his home is very cozy and clean I enjoyed my  stay there felt comfortable and safe  lars was very accommodating in terms of advising me on places around  I definitely recommend this place,5
393642,6822403,156121699,2017-05-29,12027640,Leah,Sara's apartment is the perfect Brooklyn retreat The photos don't lie the apartment and room are lovely as are the shared living areas (and the well-stocked bathroom which I had all to myself) Also the location is ideal for getting into Manhattan on the M and J trains and for those spending more time in Williamsburg for finding good food and drink Most importantly Sara is a wonderfully responsive and helpful host I can't recommend her place enough ,4
590910,106363,4076286,2013-04-08,4976057,Monica,Alicia and her family are very kind the are a beautiful family and great hosts  The room is cozy and warm and has its own bathroom The apartment have a very good location and view I will like stay there again,4
244801,9810696,104529933,2016-09-27,53262437,Angela,Our stay at Manny's house was so much more than we expected The location on th (between th & th ave) was close to everything we needed including restaurants theatres the Subway on th and there was also a lovely little laundromat right on the corner ( sec walk) The building was secure and had everything needed including air-con cable TV ( channels) free wifi full kitchen appliances and even coffee/tea/sugar supplies and more The place was cleaner than most hotels and provided new bed linens and an abundance of clean towels Jesus met us upon arrival and was extremely helpful and accommodating Would highly recommend staying at Manny's house,5
286600,20188858,191449935,2017-09-07,25968995,Jim,Great value for the money especially given the location in New York City The room was a good size  we were two and did not feel crowded While pretty basic we were comfortable and the room was clean had good internet a nice TV a refrigerator and a microwave think more hotel-like than home like Check-in and Check out was a breeze  Rebecca met us at the door and was very responsive to our questions  If you're looking for basic and clean accommodations close to the theater district and transportation to any other part of the City then I would highly recommend this rental,5
43632,15078898,174065941,2017-07-24,26156945,Bernadette,Isabel's apartment on the upper east side of Manhattan was cozy and clean It was in a great location Close to subway trains and busses I felt like Holly Golihhtly in Breakfast at Tiffany's Lots of restaurants to choose from coffee houses and bakeries It was fun  So close to the park and the Metropolitan Museum tooBook her home I recommend,4
205489,2509093,26032381,2015-02-01,177441,Ashley,Heather is an amazing host and now a new friend I loved staying at her lovely cozy apartment in Williamsburg wt her  adorable cats and the best location ever I can't wait to stay again,4
449824,841484,31098942,2015-05-02,27751106,Marco,The apartment is really lovely and comfortable we found exactly what we seen and red in the description Andrew is a very good host and he has a wonderful neighborVery close to the metro and placed in  quite neighborhoodThanks,4
43011,15597266,150689282,2017-05-08,126688264,Margaret,This was my third trip to New York and Chadine's was a great place to stay Clean rooms and very hospitable Hope to make another trip soon ),3
444526,1005416,18108990,2014-08-22,7885573,Tony,The place is exactly what was described Michael is nice it was available for the delivery of key the neighborhood is quiet it is a good place for a holiday in New York,5
638838,305211,3044629,2012-12-08,4207738,Jens,The location is excellent Kristina was very nice and the apartment was as described The furnishing is a bit sparse but who wants to stay indoors when in Willamsburg anyway,4
374935,6462192,82780861,2016-06-29,9316548,Stephanie,Great location and close to public transit Simple check-in process and place is as described ,3
209321,1872838,143794248,2017-04-13,121343283,Ana,Great stay in Brooklyn min to Manhattan but near to Subway stations Really really clean apartment,4
211841,8954037,144373653,2017-04-15,118704604,Luke,Great place to rest yoyr head ,3
258815,7202368,100521282,2016-09-09,13656473,Nicole,We stayed in the apartment for  nights The building and the apartment itself are absolutely authentic We loved being a part of New York for that time at least we felt a bit as if living in New York It is different as if you stay in a hotel in Manhattan The neighborhood was relatively quiet at night of course it is not comparable to a neighborhood in a small town There are always noises in the old building or outside on the street that are new to oneself The bathroom is small but was equipped with some stuff like sunscreen shower gel etc Towels and bed sheets were provided by Jason The sink was very small too small for us to brush our teeth Also there is a lack of receptacles in the bathroom I prefer to dry my hair in the bathroom to avoid flying loose hair around in the house Well one have to keep in mind that it is an old building There is also a small kitchen equipped with all necessary stuff to cook a meal or prepare breakfast Everything was very clean and ready to use We can recommend the bakery named Saraginha Bakery nearby they offer fresh bread good coffee and other things The service is very friendly There are also other cafes and deli's around The walk to the nearest subway station Utica is about - minutes (go left when you exit the building and just straight ahead) We definitely felt foreign at the beginning but get more and more used to the neighborhood after a few days and finally felt safe Getting into Manhattan by subway is about  minutes with the blue line A or C In the evening we often took the express lines back to Utica and were back in the apartment very quickly All in all I can recommend Jason's apartment Jason is a great host answered questions immediately His welcome was fabulous despite we never met him ,4
390097,14596236,131108964,2017-02-10,77782922,Kora,This is one of the most comfortable room I had ever stay in  Ming and his parter are super welcoming and friendly  love the room is really clean/ nice size with the big full size mirror (Im sure everybody need mirror all the time to make sure we look good right~) And also location is good for me to travel around the city with subway that close by   And I love this warm/homie place so much that I will come back next one when I visit  New York City and once again thank you for all the help Ming ~~ ,5
433261,8813306,106669304,2016-10-07,95200919,Corey,I had a great experience at Mike's place It was conveniently located close to the Javits Center and NY Penn station The only thing was the street noise which is expected being streetside on the nd floor As for me I'm a heavy sleeper so once I was asleep the street noise didn't bother me Coincedently I was awoken by horn honking the next morning after sleeping through my alarm So I'm somewhat thankful for the noise,3
607494,1457505,57310450,2015-12-24,47184087,Julianny,Staying at Denae's apartment was great She welcomed us very warmly She had everything prepared for us and before leaving us she showed us around the apartment She made it feel very at home Everything was very neat and cleaned  ,4
710622,4859407,26637702,2015-02-16,2511343,Erika,The place was very clean pleasant comfortable to stay in and very convenient for what we needed Its very close to the subway stop as well Teresa was accommodating and flexible host I would definitely stay there again  Its a nice open space ,5
56990,1093570,53725577,2015-11-11,32589691,Lilei,Robert was responsible to make the place clean I liked the unique interior of the house And I had no problem to share the bathroom with other people,5
412390,1658703,54327853,2015-11-18,4406802,Mary,We had a most lovely and memorable time at Danielle's place It was perfect for the special dinner planned with friends and family There was an amazing organic co-op just a block and half down the street and a wonderful cafe where we had brunch the next morning Danielle was a great hostess Couldn't have asked for anything better…,5
55899,15287347,191466400,2017-09-07,22903305,André,Lugar exatamente como nas fotos Fácil comunicação com James que nos permitiu na medida do possível fazer check in mais cedo e check out tardio Não foi suficiente para nós mas ele deu outras opções para nos ajudar Apartamento limpo (primordial) e básico (somente o necessário) Em NYC não precisamos mais que isso Localização muito boa Já é minha  vez no East Village conheço muito bem a área recomendo Pertinho de vários parquinhos públicos (para quem tem criança) praças e o passeio do East River (atividade física e crianças) Apto fica no  andar muita escada para muita mala Mas Quem está acostumado a viajar lida bem com isso Sugiro que comam e tomem chopp no bar Irlandês logo abaixo do prédio (Dorian Gray) Muito bom Obrigado James,5
600898,9758041,107272629,2016-10-09,29075985,Jonas,Jag min mamma ( år) och min syster bodde i Angie och Benjamins lägenhet och vi var verkligen nöjda Kontakten var verkligen snabb och smidig och alla frågor fick jag svar på (många) De hjälpte oss med transporten till och från flygplatsen och Jose som skjutsade oss var otroligt trevlig Flyget gick sent hem på söndagen och eftersom de hade hyrt ut lägenheten så erbjöd Jose att hämta våra väskor och ha dessa i bilen tills han skjutsade oss till JFK på kvällen Otroligt bra Benjamin träffade vi när vi anlände och han beskrev allt och vi fick mycket bra information De fanns även tillgängliga under hela veckan Lägenheten var helt perfekt för oss Fullt utrustat kök där vi kunde laga frukost och vissa kvällar även kvällsmat Lägenheten är större än man upplever på bilderna och det finns även en balkong med utsikt från a våningen över halva Brooklyn Kommunikationerna är fantastiska Du har ca  meter till tunnelbanan som tar dig in till Manhattan på ca  min Du kan ta J linjen till finanskvarteren eller M linjen till Midtown så det är helt perfekt Köp ett Metrocard för  dollar så får du obegränsat med resor i  dagar Det finns en stor matvaruaffär med allt du kan tänka dig bara  meter från lägenheten där vi handlade både frukost och en del kvällsmat Williamsburg har massvis med bra restauranger så det finns att välja på Lördagar kan jag även rekommendera att besöka Smorgasburg som är en fantastisk matmarknad Allt som allt så kan vi verkligen rekommendera Angie och Benjamins lägenhet och allt fungerade perfekt ,1
254911,4013668,173078443,2017-07-22,124866706,Hill,Nice place for a family of five in the very cool Parkslope neighborhood Close to great restraunts and entertainment Two close metro stops gives you quick access to Manhattan,5
310317,404502,8998364,2013-12-01,5136280,Engin,We spent wonderful  days in Williamsburg and Jsun's apartment was a big reason for why we enjoyed it so much It is charming and warm we felt cozy and at home right from the beginning You can clearly see the love he put into this beautiful place and the rooms are just incredibly warm (temperature and feeling wise) and comfortable The blue of the blue room just makes you feel good right away independent of what weather there is out there in wintery New YorkThe greatest thing is that the moment you walk out you're in the middle of the hip neighborhood with all its restaurants bars stores and beautiful little corners around Bedford Avenue to discover Williamsburg is such an exciting place to discover on its own at the same time it is only a few subway minutes away from bustling ManhattanJsun was a wonderful and helpful host and friend He was very communicative and gave very clear directions for how to get into the apartment We enjoyed his welcoming generosity He was here for all sorts of questions and we learned from him how Williamsburg was before there were pharmacies He makes you immediately part of the apartment and at the same time he gives you a lot of privacy and space I only wish we could have had the time to play Backgammon together as he has such a beautiful backgammon setI definitely recommend this place if you want to have a great time in New York,4
510422,17865806,149507015,2017-05-04,128005599,Sean,Low was a good host ,2
306458,19577620,169758931,2017-07-13,111948707,Vinh,Erik was a great host Worked with me to check in due to delays The place was clean just like he described it Would definitely stay here again ,3
425331,13245420,178976239,2017-08-06,46111423,Elena,Had such a great time August is an awesome host Super nice to talk to and very accommodating),2
277395,7345868,121233292,2016-12-15,46898501,Nabaany,Excelente ubicación cerca está el metro que lleva dirección a los lugares turísticos zona segura de noche sin problemas Supermercado y restaurantes cerca ,5
384749,7714664,135324210,2017-03-04,102967128,Róbert,A lakás tiszta rendezett A tömegközlekedés és a bolt is viszonylag közel van A pihenést semmi sem zavarja csendes környék Nagyon jól éreztem magamat,5
700893,4188807,86457154,2016-07-16,64453404,Julien,Agréable séjour dans cette maison qui a du cachet dans un quartier calme a  min du métro On a bien dormi car rue calme matelas ok et chambre climatisée c est une bonne idée de dormir hors de Manhattan,1
95639,1217318,60327020,2016-01-22,48786747,Paul,We really enjoyed staying at Martin's place Your living right in the middle of Williamsburg with a lot of fency delicious restaurants and also not far from Manhatten The subway station  is very close to the apartment so it is easy to get there The place was very clean and cosy You just felt being at home Martin was the perfect host He is a really laid-back and sympathetic person who was always available for any questions and recommendations We would definitively recommend his place for your New York journey and would love to do so again ,5
637288,13001199,152840451,2017-05-18,8467880,Joshua,Great place to stay Really close to public transit check-in was very flexible and smooth Christina was great to chat with Would come again,3
660637,4890995,52235487,2015-10-27,7985968,Grace,This is a great place to stay Ronak is an excellent host he made sure all the arrangements went  smoothly He is very well organized as well as very considerate and polite the apartment is spacious and clean and in a great location I would definitely like to stay there again when I return to NYC ,3
433434,8907617,126508294,2017-01-12,44946404,Naoufel,Tanya is nice & comprehensive I had to move during my stay at her and she was ok with this  really kind,5
132558,163814,609404,2011-10-08,1204047,Justin,Place was as described and met my needs  Location was great  Had some issues with HVAC and water heater but Keith resolved promptly,3
5072,616659,139271217,2017-03-24,117964519,Kate,Katie and Mike's apartment had a home-away-from-home vibe in NYC Super roomy for my two sisters and me a very safe neighborhood and a great location We really enjoyed our stay at Katie and Mike's apartment Would stay there again ),4
324687,4994497,64723057,2016-03-06,60679307,Melissa,Clean room quiet neighborhood Recommended ),5
350955,15929576,193228611,2017-09-12,140271482,Emma,Jen's apartment is very nice and cosy with a comfortable bed and beautiful brick wall It has a good view over the roof tops It is located on a good street with lots of restaurants and very close to Central Park Walking distance to other sights as well Jen is also very easy to communicate with,4
